ID,Population,Labor Part.,Employment,Unemployment
45051,202228,63.7,60.1,5.3
45057,58334,53.2,48.8,8.3
45059,55473,58.7,53.0,9.8
45063,190319,67.4,64.1,4.6
45073,57540,58.0,53.9,6.9
45075,71262,53.5,49.1,7.9
45077,94849,60.8,57.6,5.3
45079,283000,69.6,60.2,6.7
45083,217093,60.1,55.8,7.0
45085,80237,56.5,48.3,8.0
45091,161184,69.3,64.3,7.3
46099,134866,75.7,72.9,3.6
46103,75315,70.6,66.2,4.5
47001,59502,58.2,54.7,5.2
47009,97073,62.5,58.5,5.9
47011,76535,64.4,58.5,9.2
47037,488139,68.9,65.5,4.9
47059,55567,58.7,53.3,9.2
47065,267200,65.3,60.4,7.3
47093,340405,64.9,62.0,4.4
47113,74887,66.1,61.8,6.3
47119,63262,64.8,60.6,6.2
47125,115151,67.9,55.6,6.9
47141,N,N,N,N
47149,185151,70.8,65.1,7.8
47155,67438,67.5,63.9,5.2
47157,691111,66.9,60.4,9.2
47163,126179,58.9,55.1,6.4
47165,119274,68.3,63.0,7.9
47179,95131,60.7,57.0,6.1
47187,127210,69.3,66.2,4.5
47189,82830,68.4,64.8,4.9
48005,63624,59.1,55.9,5.3
48021,52334,67.2,62.3,7.1
48027,197994,66.6,53.4,6.7
48029,1191248,64.5,59.2,6.0
48037,72230,60.1,56.5,5.8
48039,220772,66.4,63.2,4.4
48041,137481,61.2,58.7,3.9
48061,268169,54.2,51.1,5.6
48085,545403,73.5,70.6,4.0
48091,82425,63.7,61.1,3.6
48099,53079,67.4,43.5,7.0
48113,1766182,68.3,64.1,6.2
48121,460342,74.9,70.4,6.1
48135,96196,63.2,60.0,5.0
48139,107352,69.6,65.8,5.2
48141,529825,58.5,52.9,7.5
48157,384135,67.0,63.6,5.0
48167,220326,65.3,61.5,5.5
48181,92752,63.3,60.0,5.2
48183,89057,63.0,59.6,5.5
48187,87255,65.0,61.9,3.4
48201,2925720,68.5,64.2,6.2
48209,110469,66.6,62.3,6.5
48213,62540,57.1,53.0,7.2
48215,479215,58.4,53.3,8.6
48231,65039,61.7,57.6,6.7
48245,189714,57.3,52.6,8.0
48251,115091,63.2,59.7,5.5
48257,73131,68.4,63.1,7.7
48291,58285,55.2,50.8,7.8
48303,202548,66.1,62.1,6.0
48309,175872,62.9,58.1,7.5
48329,94210,66.5,64.1,3.6
48339,312124,65.4,61.7,5.3
48355,243516,64.1,59.1,6.6
48361,65168,56.5,51.8,7.7
48367,85547,60.1,57.7,3.9
48375,89880,62.7,58.9,6.0
48381,88239,71.1,68.2,4.0
48397,54397,73.0,69.0,4.9
48409,51091,57.6,51.2,7.1
48423,153239,64.0,60.1,6.0
48439,1285338,70.4,66.4,5.6
48441,97185,61.1,55.3,3.3
48451,83583,64.5,58.4,4.7
48453,755811,73.4,69.9,4.7
48469,64641,64.3,59.1,8.0
48479,154528,65.5,60.6,7.4
48485,99674,62.6,54.4,4.4
48491,277822,71.4,66.7,6.3
49005,77724,73.3,71.2,2.8
49011,205281,70.7,67.3,3.5
49035,743040,71.7,68.7,4.0
49049,332467,68.1,66.0,2.9
49053,98705,61.9,59.1,3.8
49057,162459,67.9,63.8,5.0
50007,124035,73.5,69.8,4.6
51003,75965,64.7,62.1,3.9
51013,172009,77.8,74.5,2.5
51015,56725,63.3,61.1,3.2
51019,54317,64.6,62.4,3.3
51041,233765,71.8,68.4,4.1
51059,794796,72.4,69.1,3.0
51061,N,N,N,N
51069,55952,73.8,70.8,4.0
51085,78122,71.1,68.8,3.1
51087,227092,72.3,68.4,5.1
51107,201045,77.3,74.6,3.1
51121,76913,59.6,56.3,5.4
51153,265487,77.6,71.6,4.3
51161,73347,66.2,65.0,1.8
51165,58551,68.7,67.0,2.5
51177,89740,71.7,65.2,7.8
51179,90945,70.8,64.9,3.1
51510,114492,74.1,70.4,3.4
51550,169327,68.8,63.0,4.4
51650,116488,64.8,57.1,6.5
51680,56235,57.1,52.7,7.4
51700,134551,70.1,58.5,7.8
51710,181356,67.7,50.9,8.1
51740,78446,64.4,54.5,7.2
51760,159731,62.8,56.3,10.3
51770,74249,63.6,59.0,6.8
51800,61957,66.6,59.3,7.2
51810,338039,71.7,62.1,3.7
53005,121968,63.5,59.6,6.1
53007,55815,58.4,56.3,3.7
53009,59178,53.2,50.1,5.3
53011,321059,68.1,63.1,7.1
53015,79215,59.7,54.1,9.3
53021,47653,67.8,63.2,6.7
53025,60681,64.8,58.3,10.0
53027,57571,58.3,52.0,10.8
53029,65442,60.4,48.1,3.8
53033,1503227,69.8,66.6,4.5
53035,187420,64.1,57.4,7.1
53041,58931,56.1,52.2,6.8
53053,599909,67.2,60.1,6.1
53057,92288,60.7,57.9,4.1
53061,527340,70.9,66.1,5.6
53063,362683,63.6,58.8,7.0
53067,191447,65.0,60.1,5.4
53073,156522,65.5,60.8,7.1
53077,170491,62.9,57.0,9.1
54003,77024,70.6,66.3,5.7
54011,76602,56.4,53.3,5.1
54033,54708,57.0,51.5,9.5
54039,154780,60.0,56.5,5.7
54061,73522,59.2,56.7,4.1
54081,64537,52.4,48.6,7.4
54107,69782,56.5,52.2,7.5
55009,190201,70.8,67.1,5.2
55025,384222,73.6,70.2,4.4
55027,71716,68.1,64.1,5.9
55035,78768,68.1,64.0,5.9
55039,79487,68.6,64.5,6.0
55055,63939,71.4,67.1,5.8
55059,124890,66.3,62.0,6.2
55063,89601,69.3,65.6,5.0
55071,65169,70.5,66.4,5.8
55073,103373,72.8,68.3,6.1
55079,729641,65.4,60.0,8.3
55087,135913,71.8,68.3,4.8
