,Unnamed: 0,ID,Population,Labor Part.,Employment,Unemployment,YEAR,AGE,SEX2,HISPAN2,MIGRATE1,PERWT,Total_weighted
157,157,29019,122476,70.0,67.0,4.3,2007,21.9,0.5,0.8,10.0,1488.0,14880.0
158,158,29183,263525,74.6,72.2,3.3,2007,21.83333333333333,0.3333333333333333,0.8333333333333334,6.0,888.0,5328.0
159,159,29189,791729,66.7,62.7,5.9,2007,29.04166666666667,0.4166666666666667,0.875,24.0,2861.0,68664.0
160,160,29510,272868,63.9,56.3,11.8,2007,27.66666666666667,0.3333333333333333,0.6666666666666666,6.0,691.0,4146.0
161,161,31055,379737,71.6,67.6,5.4,2007,25.125,0.875,0.75,8.0,1488.0,11904.0
162,162,31109,216995,74.7,70.7,4.9,2007,26.42857142857143,0.8571428571428571,1.0,7.0,786.0,5502.0
163,163,32003,1399100,68.0,63.8,5.5,2007,30.97872340425532,0.5106382978723404,0.4787234042553192,94.0,10395.0,977130.0
164,164,32031,318347,69.5,66.3,4.4,2007,32.75,0.5833333333333334,0.6666666666666666,12.0,2116.0,25392.0
165,165,33017,97775,69.9,66.5,4.8,2007,30.75,0.5,1.0,4.0,215.0,860.0
166,166,34001,213093,65.9,60.5,8.2,2007,29.142857142857146,0.42857142857142855,0.42857142857142855,7.0,900.0,6300.0
167,167,34003,725155,65.8,63.0,4.2,2007,35.131578947368425,0.5,0.8684210526315791,38.0,4547.0,172786.0
168,168,34005,354552,68.2,63.3,5.8,2007,34.666666666666664,0.3333333333333333,0.3333333333333333,3.0,361.0,1083.0
169,169,34007,400953,66.2,61.1,7.5,2007,21.2,0.6,0.6,5.0,484.0,2420.0
170,170,34011,121781,60.7,54.1,10.7,2007,19.0,0.0,0.0,1.0,23.0,23.0
171,171,34013,600690,64.4,59.3,7.9,2007,32.09375,0.5625,0.65625,32.0,4067.0,130144.0
172,172,34017,482003,68.5,63.8,6.9,2007,29.19444444444445,0.5555555555555556,0.8611111111111112,36.0,3534.0,127224.0
173,173,34019,104395,68.1,66.0,3.1,2007,32.0,0.75,0.5,4.0,475.0,1900.0
174,174,34021,292004,66.2,62.1,6.0,2007,24.818181818181817,0.4545454545454545,0.6818181818181818,22.0,2362.0,51964.0
175,175,34023,629914,66.1,62.6,5.2,2007,28.72916666666667,0.5208333333333334,0.9166666666666666,48.0,6521.0,313008.0
176,176,34025,507378,66.7,62.9,5.5,2007,32.916666666666664,0.6666666666666666,0.4166666666666667,12.0,1949.0,23388.0
177,177,34027,386064,68.8,66.2,3.8,2007,23.90625,0.6875,0.9375,32.0,3366.0,107712.0
178,178,34029,448635,57.7,54.3,5.9,2007,39.333333333333336,0.4444444444444444,0.5555555555555556,9.0,832.0,7488.0
179,179,34031,379705,63.7,60.0,5.8,2007,39.375,0.375,0.75,8.0,1589.0,12712.0
180,180,34035,251806,68.9,66.6,3.1,2007,37.0,0.38461538461538464,0.6923076923076923,13.0,2581.0,33553.0
181,181,34037,119687,71.1,67.2,5.5,2007,24.0,0.0,1.0,1.0,115.0,115.0
182,182,34039,408441,66.3,61.9,6.5,2007,37.36363636363637,0.6363636363636364,0.7272727272727273,11.0,1566.0,17226.0
183,183,35001,490917,65.0,61.2,5.0,2007,27.277777777777786,0.5,0.5,18.0,1725.0,31050.0
184,184,35013,151291,61.4,57.2,6.6,2007,25.6,0.2,0.6,5.0,731.0,3655.0
